danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,spotify_link,duration_ms,time_signature,genre,song_name
0.7040000000000001,0.838,11,-4.042,1,0.29,0.0854,0.0,0.102,0.348,119.866,7l6Wb98Dnxb5n1ufADNHLa,https://open.spotify.com/track/7l6Wb98Dnxb5n1ufADNHLa,218201,4,Dark Trap,Giant Squit
0.735,0.8109999999999999,0,-3.735,1,0.0601,0.11,0.16399999999999998,0.528,0.42,207.852,1ojp0kfnXyRvr5cemuU0qD,https://open.spotify.com/track/1ojp0kfnXyRvr5cemuU0qD,100807,4,Dark Trap,You Are Not Like Us
0.8640000000000001,0.727,10,-5.996,1,0.1,0.0229,0.0,0.295,0.599,119.987,01gihn8zKrwsafKnD3UGDz,https://open.spotify.com/track/01gihn8zKrwsafKnD3UGDz,159242,4,Dark Trap,Arachnids
0.48,0.984,3,-0.726,1,0.264,0.0484,0.0,0.472,0.393,139.958,5WY9OTNkgX1Sd1WluZL77F,https://open.spotify.com/track/5WY9OTNkgX1Sd1WluZL77F,92918,4,Dark Trap,Give Ah Fuck
0.755,0.765,10,-7.256,0,0.28800000000000003,0.0272,0.0,0.565,0.401,219.89,5X5Kd4ULRLE5Rd7p8tmahp,https://open.spotify.com/track/5X5Kd4ULRLE5Rd7p8tmahp,144018,4,Dark Trap,Allergies
0.8490000000000001,0.98,1,-0.964,1,0.0575,0.254,0.000787,0.551,0.295,219.988,21cGO6AxAJJDTV7Po9ywZa,https://open.spotify.com/track/21cGO6AxAJJDTV7Po9ywZa,122182,4,Dark Trap,Memoirs of a Gorilla
0.7559999999999999,0.794,0,-4.539,1,0.208,0.0362,0.0,0.314,0.474,140.036,7m1p5O2UOyQM14DVIZUwGx,https://open.spotify.com/track/7m1p5O2UOyQM14DVIZUwGx,137195,4,Dark Trap,Slip on a Banana Clip
0.762,0.509,1,-7.354,1,0.0631,0.14800000000000002,0.0,0.155,0.0671,120.054,6fMIRwUAU2Zyb2IaMGiyAg,https://open.spotify.com/track/6fMIRwUAU2Zyb2IaMGiyAg,175465,4,Dark Trap,"Buff Squad (feat. Pouya, Shakewell & Germ)"
0.7829999999999999,0.4970000000000001,1,-7.652,1,0.0508,0.0716,0.6,0.124,0.0381,212.026,177BasCdDuPYuv0E0Ujbqs,https://open.spotify.com/track/177BasCdDuPYuv0E0Ujbqs,133748,4,Dark Trap,Lte
0.685,0.402,0,-8.076,0,0.0734,0.208,0.0206,0.402,0.107,119.917,2ww1CemCVpqs9sQXO9jfN2,https://open.spotify.com/track/2ww1CemCVpqs9sQXO9jfN2,104230,4,Dark Trap,Gloss of Blood
0.556,0.449,7,-10.363,1,0.227,0.0807,0.0372,0.446,0.484,179.968,4kBrbBGK0vLW1CihB20Qtq,https://open.spotify.com/track/4kBrbBGK0vLW1CihB20Qtq,203960,4,Dark Trap,100K
0.777,0.742,5,-8.222999999999999,1,0.289,0.165,0.0,0.0957,0.605,125.0,44X2fcZQhyywsHTmvbS5zY,https://open.spotify.com/track/44X2fcZQhyywsHTmvbS5zY,130638,4,Dark Trap,It Don't Matter
0.797,0.542,9,-7.324,1,0.34600000000000003,0.018000000000000002,0.0,0.0838,0.313,155.862,2KSFen8RLeGFqBQ8Dfx1gU,https://open.spotify.com/track/2KSFen8RLeGFqBQ8Dfx1gU,110769,4,Dark Trap,Pull Out Game
0.85,0.542,0,-6.922999999999999,1,0.231,0.53,0.0,0.0774,0.595,120.037,3f9xcqxIGsm85RFjGEG2W9,https://open.spotify.com/track/3f9xcqxIGsm85RFjGEG2W9,238853,4,Dark Trap,Bird Is The Word
0.7190000000000001,0.7040000000000001,1,-5.23,1,0.093,0.138,0.0,0.0753,0.0808,113.007,0Z9sJ77J6qKd2HYv32ynUS,https://open.spotify.com/track/0Z9sJ77J6qKd2HYv32ynUS,297273,4,Dark Trap,Jukai
0.758,0.716,1,-6.621,1,0.34600000000000003,0.607,9.52e-05,0.0653,0.565,189.872,5GxLshYIBBgkrW4a9aUVn0,https://open.spotify.com/track/5GxLshYIBBgkrW4a9aUVn0,152999,4,Dark Trap,Back At It
0.76,0.774,9,-6.593,1,0.172,0.00972,0.000701,0.199,0.493,148.0,6Ikh2kZIzZ2GEKpZfrV3D3,https://open.spotify.com/track/6Ikh2kZIzZ2GEKpZfrV3D3,191897,4,Dark Trap,Fuck a Hoe (feat. $Uicideboy$)
0.8690000000000001,0.5720000000000001,1,-9.086,1,0.55,0.0493,0.0,0.103,0.6579999999999999,152.11,6AK1RhuJ2zNxPO15SGtRsf,https://open.spotify.com/track/6AK1RhuJ2zNxPO15SGtRsf,114495,4,Dark Trap,3 Xans
0.738,0.7120000000000001,10,-6.273,0,0.0897,0.0226,0.0,0.0773,0.358,149.005,0UzDPAMBI8miCHsYoqRb7g,https://open.spotify.com/track/0UzDPAMBI8miCHsYoqRb7g,161493,4,Dark Trap,Skywalker
0.622,0.635,0,-6.501,0,0.0418,0.6509999999999999,7.88e-06,0.119,0.602,119.922,263xCtrMwyZsXxYcibwNEk,https://open.spotify.com/track/263xCtrMwyZsXxYcibwNEk,150017,4,Dark Trap,Your Desire
0.745,0.703,7,-10.077,1,0.149,0.0345,2.54e-06,0.095,0.402,144.933,1T6ahdAqK73fZ7UaN8lLMQ,https://open.spotify.com/track/1T6ahdAqK73fZ7UaN8lLMQ,92690,4,Dark Trap,Byberry
0.855,0.659,2,-5.867000000000001,1,0.092,0.0773,0.0,0.0957,0.736,119.989,15IO0wZKmtlASLBVAv2DbA,https://open.spotify.com/track/15IO0wZKmtlASLBVAv2DbA,152000,4,Dark Trap,Benadrylled
0.5489999999999999,0.44,4,-12.024,0,0.472,0.632,0.000779,0.0909,0.132,218.41,5bjvEzg9fG68IRMSrkVSot,https://open.spotify.com/track/5bjvEzg9fG68IRMSrkVSot,300831,4,Dark Trap,Dream Journal
0.7020000000000001,0.5670000000000001,11,-10.223,0,0.197,0.604,3.3e-05,0.359,0.195,120.081,6aksxALGxEL6kOOvITALIm,https://open.spotify.com/track/6aksxALGxEL6kOOvITALIm,195713,4,Dark Trap,Hannah Baker
0.53,0.732,1,-5.921,1,0.235,0.0608,7.35e-05,0.073,0.458,132.02200000000002,5LuB8k1xvs3cWKTgg7fM6l,https://open.spotify.com/track/5LuB8k1xvs3cWKTgg7fM6l,178182,4,Dark Trap,20k
0.726,0.5489999999999999,7,-7.115,1,0.0925,0.00587,3.620000000000001e-05,0.345,0.0855,138.03799999999998,34eGYn0anbn2aEgdos5IBY,https://open.spotify.com/track/34eGYn0anbn2aEgdos5IBY,159468,4,Dark Trap,Whatever
0.708,0.423,2,-7.582999999999998,1,0.0555,0.0156,0.000113,0.136,0.0712,124.989,5R2pG7PUaEelpscZrA814W,https://open.spotify.com/track/5R2pG7PUaEelpscZrA814W,144960,4,Dark Trap,Nightstalker
0.66,0.604,0,-7.0,1,0.421,0.247,0.000128,0.196,0.435,155.196,5XGeOySEuf66LxJoVqzfeW,https://open.spotify.com/track/5XGeOySEuf66LxJoVqzfeW,114177,4,Dark Trap,Headfuck
0.447,0.652,1,-3.729,1,0.0315,0.0432,0.00371,0.184,0.0367,117.009,16We63cC503m1TMVeZlrvL,https://open.spotify.com/track/16We63cC503m1TMVeZlrvL,161178,3,Dark Trap,sleep at night
0.278,0.47,2,-15.062,1,0.0456,8.6e-05,0.00235,0.14800000000000002,0.0775,137.961,0xWggLjkf1hLZB5cZP874Q,https://open.spotify.com/track/0xWggLjkf1hLZB5cZP874Q,202286,5,Dark Trap,Pulling Teeth
0.953,0.38,8,-4.941,1,0.261,0.00957,0.0,0.127,0.128,133.941,4HfaOznGhHYWqPtpLYz2PB,https://open.spotify.com/track/4HfaOznGhHYWqPtpLYz2PB,116847,4,Dark Trap,Rocket Ship
0.705,0.619,1,-5.862,1,0.085,0.14300000000000002,0.0,0.17600000000000002,0.465,146.02700000000004,4mIXmsA9lwT7sk8rkrnEFE,https://open.spotify.com/track/4mIXmsA9lwT7sk8rkrnEFE,237240,4,Dark Trap,Snow Globe (feat. NAV) - Remix
0.782,0.449,11,-10.708,0,0.364,0.268,4.11e-05,0.111,0.34,116.056,5J7oY1Dn3fME9mUEsZtGvd,https://open.spotify.com/track/5J7oY1Dn3fME9mUEsZtGvd,120000,4,Dark Trap,1000
0.643,0.82,11,-6.2810000000000015,1,0.174,0.18600000000000005,9.47e-06,0.101,0.266,153.102,6Shhh5DVoTBp9KWV1hsba2,https://open.spotify.com/track/6Shhh5DVoTBp9KWV1hsba2,163149,4,Dark Trap,Henny
0.648,0.5429999999999999,4,-9.082,0,0.213,0.126,0.0,0.101,0.192,159.92700000000005,65xzgxTCk4JcmhcHXtt7oL,https://open.spotify.com/track/65xzgxTCk4JcmhcHXtt7oL,216008,4,Dark Trap,Flexin
0.481,0.604,5,-6.299,0,0.377,0.149,0.0,0.162,0.257,160.078,3x5F5wMcutQ4Fluez44tZm,https://open.spotify.com/track/3x5F5wMcutQ4Fluez44tZm,182959,4,Dark Trap,HOOD
0.738,0.581,3,-6.776,0,0.217,0.28,0.0,0.101,0.635,157.967,1CJzOLz3J4zhXSj3MFOmD5,https://open.spotify.com/track/1CJzOLz3J4zhXSj3MFOmD5,243050,4,Dark Trap,For My Bros
0.908,0.499,6,-7.792999999999998,0,0.642,0.267,0.0,0.078,0.114,132.968,2H5CLUmtvo2VHEeWzMtUqW,https://open.spotify.com/track/2H5CLUmtvo2VHEeWzMtUqW,278760,4,Dark Trap,LOST (feat. Kid Cudi)
0.8029999999999999,0.7190000000000001,0,-4.485,1,0.392,0.344,0.0,0.425,0.5489999999999999,129.945,7gHZGXSJzM29WA384suYY2,https://open.spotify.com/track/7gHZGXSJzM29WA384suYY2,238425,4,Dark Trap,Secure The Bag
0.77,0.459,9,-6.255,1,0.0646,0.387,0.0,0.0792,0.418,146.908,2JuKanDBTFLx1rVuypB8tQ,https://open.spotify.com/track/2JuKanDBTFLx1rVuypB8tQ,169640,4,Dark Trap,Blue Faces
0.887,0.627,9,-4.14,0,0.0468,0.0428,0.0,0.109,0.326,127.108,0et3KfGLKitEvAnvzIa4X0,https://open.spotify.com/track/0et3KfGLKitEvAnvzIa4X0,165869,4,Dark Trap,Who Shot Johnny?
0.574,0.812,9,-4.181,0,0.396,0.00757,0.0,0.15,0.488,147.734,0M52bTppxI3QQxan8ftIsY,https://open.spotify.com/track/0M52bTppxI3QQxan8ftIsY,125513,4,Dark Trap,Rari (feat. Future)
0.6809999999999999,0.608,1,-8.302,1,0.0779,0.0745,6.4e-05,0.108,0.175,159.914,1u6rWB9oU2ngLcidsACqsM,https://open.spotify.com/track/1u6rWB9oU2ngLcidsACqsM,155727,4,Dark Trap,Days
0.595,0.534,1,-8.747,1,0.318,0.0106,0.00157,0.107,0.134,162.066,6PHbWsTTlmQKF9i9VC1KFv,https://open.spotify.com/track/6PHbWsTTlmQKF9i9VC1KFv,225348,4,Dark Trap,Ridin Strikers
0.755,0.631,8,-7.9,1,0.152,0.0816,1.36e-05,0.111,0.525,153.094,3vCzerngFaftC640dbuh8B,https://open.spotify.com/track/3vCzerngFaftC640dbuh8B,175686,4,Dark Trap,Lies About You (feat. Lil Durk)
0.737,0.562,5,-8.156,1,0.373,0.28300000000000003,0.0,0.0727,0.457,162.03,0rGipWrGwAnZsaVkyiJpap,https://open.spotify.com/track/0rGipWrGwAnZsaVkyiJpap,168312,4,Dark Trap,Day for Day
0.701,0.662,6,-7.0139999999999985,0,0.316,0.403,0.0,0.109,0.616,132.418,09GFuRGVmdfKNuGNcRxEJP,https://open.spotify.com/track/09GFuRGVmdfKNuGNcRxEJP,148577,4,Dark Trap,Neptun
0.747,0.557,1,-8.971,0,0.069,0.369,3.53e-05,0.103,0.552,149.965,4JRe23RYB0fN3rkYj1Uqm2,https://open.spotify.com/track/4JRe23RYB0fN3rkYj1Uqm2,195200,4,Dark Trap,12
0.595,0.645,6,-4.872,1,0.108,0.0866,1.74e-05,0.165,0.205,134.941,7EtAE242kivzlxxOAL29bS,https://open.spotify.com/track/7EtAE242kivzlxxOAL29bS,157720,4,Dark Trap,Hardly
0.7440000000000001,0.674,1,-7.518,0,0.0641,0.35600000000000004,0.0,0.128,0.316,134.02100000000002,14PWHDV87nXiSuClZDsEYC,https://open.spotify.com/track/14PWHDV87nXiSuClZDsEYC,200135,4,Dark Trap,Richard Millie Plain
0.861,0.448,2,-8.256,1,0.111,0.00761,0.000408,0.0902,0.0487,125.022,5ihDGnhQgMA0F0tk9fNLlA,https://open.spotify.com/track/5ihDGnhQgMA0F0tk9fNLlA,265213,4,Dark Trap,Thought It Was a Drought
0.728,0.628,1,-4.766,1,0.191,0.01,6.53e-05,0.0735,0.393,160.94,5YP6yKgGGsXKukqxXypVAf,https://open.spotify.com/track/5YP6yKgGGsXKukqxXypVAf,189428,4,Dark Trap,F&N
0.603,0.67,2,-4.809,1,0.25,0.0871,0.0,0.326,0.159,179.68400000000003,6pUBrvKfJL4qmn95mxU7rC,https://open.spotify.com/track/6pUBrvKfJL4qmn95mxU7rC,192099,4,Dark Trap,Respect the Game
0.7909999999999999,0.735,5,-4.7639999999999985,0,0.16,0.0427,0.0,0.134,0.4970000000000001,144.985,2Am26UXisQ91vBLYdqd7Pa,https://open.spotify.com/track/2Am26UXisQ91vBLYdqd7Pa,211853,4,Dark Trap,Underdog (Lil Baby & Gunna)
0.7809999999999999,0.597,10,-6.794,0,0.23,0.0415,0.0,0.152,0.544,158.043,7wcyO1rrH3Ru4t659IjG41,https://open.spotify.com/track/7wcyO1rrH3Ru4t659IjG41,149949,4,Dark Trap,Crushed Up
0.557,0.526,8,-9.499,0,0.32299999999999995,0.00946,0.0,0.128,0.123,159.908,2MyCT1iCuBUhcO8zbjOyRW,https://open.spotify.com/track/2MyCT1iCuBUhcO8zbjOyRW,325853,4,Dark Trap,Dance For Me (feat. NAV)
0.774,0.706,2,-6.494,1,0.355,0.0016300000000000002,1.28e-06,0.104,0.382,152.891,7fxSLnklnayJNBIKntXedZ,https://open.spotify.com/track/7fxSLnklnayJNBIKntXedZ,185037,4,Dark Trap,Slidin
0.799,0.636,10,-8.113,0,0.0852,0.0423,0.0,0.106,0.439,126.012,5pL7AIud5STzlQBlTJp7WT,https://open.spotify.com/track/5pL7AIud5STzlQBlTJp7WT,129827,4,Dark Trap,DIRTY DIANA
0.7120000000000001,0.778,5,-6.738,0,0.0408,0.00365,0.0,0.127,0.469,139.976,4HXydnNLWEAASziH3965ZE,https://open.spotify.com/track/4HXydnNLWEAASziH3965ZE,192692,4,Dark Trap,Chicken Soup
0.6559999999999999,0.5720000000000001,2,-8.21,1,0.0627,0.0228,0.0935,0.16399999999999998,0.17600000000000002,159.843,5zsQiqQgr5Ta70y2czV280,https://open.spotify.com/track/5zsQiqQgr5Ta70y2czV280,168008,4,Dark Trap,Risky
0.813,0.483,3,-8.044,0,0.457,0.14400000000000002,0.0,0.0991,0.398,132.954,0oK6aZFtGPCCQ83lChpGO3,https://open.spotify.com/track/0oK6aZFtGPCCQ83lChpGO3,202105,4,Dark Trap,Nolia (feat. Kevin Gates)
0.851,0.5589999999999999,6,-8.267000000000001,1,0.328,0.306,1.6899999999999994e-05,0.108,0.292,126.02,7C3Q2ZwTi8Uv5egru4g03j,https://open.spotify.com/track/7C3Q2ZwTi8Uv5egru4g03j,201146,4,Dark Trap,PEN
0.8059999999999999,0.426,4,-8.093,0,0.474,0.023,0.0,0.133,0.0626,143.805,1q9q1qYxWEumKDEcSq5ztg,https://open.spotify.com/track/1q9q1qYxWEumKDEcSq5ztg,121519,4,Dark Trap,What You Want
0.71,0.715,6,-7.965,0,0.0817,0.251,3.02e-06,0.289,0.449,159.95600000000005,7yMvF3mjdsFStdOiMpiFNx,https://open.spotify.com/track/7yMvF3mjdsFStdOiMpiFNx,168227,4,Dark Trap,Analog Keys
0.7170000000000001,0.436,10,-8.633,0,0.109,0.295,0.0,0.11,0.391,119.923,4fga12MJbUa7ShmyJKHeIJ,https://open.spotify.com/track/4fga12MJbUa7ShmyJKHeIJ,168493,5,Dark Trap,Purple Baguettes
0.578,0.721,4,-5.105,1,0.131,0.0103,0.0,0.329,0.662,127.115,7e5WppzulpdTKAQu7uUNch,https://open.spotify.com/track/7e5WppzulpdTKAQu7uUNch,247615,4,Dark Trap,Dem Callin' (feat. Ramriddlz)
0.63,0.399,5,-9.869,0,0.17800000000000002,0.105,0.174,0.234,0.0657,183.016,1wGnp7ejkCuXRsehXx0PNP,https://open.spotify.com/track/1wGnp7ejkCuXRsehXx0PNP,214192,3,Dark Trap,RIP Luv
0.7559999999999999,0.746,1,-6.397,1,0.142,0.236,0.0,0.0999,0.0793,207.956,737gwrDNwTCAwAjy02FSMO,https://open.spotify.com/track/737gwrDNwTCAwAjy02FSMO,168883,4,Dark Trap,Story: No Title
0.804,0.422,6,-8.788,0,0.35,0.0624,1.41e-06,0.13699999999999998,0.157,187.742,1sMalYr4ASm3kOr3K9JEh6,https://open.spotify.com/track/1sMalYr4ASm3kOr3K9JEh6,163653,4,Dark Trap,Hurtin
0.7559999999999999,0.452,6,-8.338,0,0.0723,0.181,2.99e-05,0.196,0.21600000000000005,155.053,2WqI0sAHJF10fOt6fl76oI,https://open.spotify.com/track/2WqI0sAHJF10fOt6fl76oI,174107,4,Dark Trap,Gucci Snake
0.64,0.615,1,-10.067,1,0.0828,0.0521,0.0,0.479,0.642,117.074,2wFwbyCz96QFLm2L6esbgf,https://open.spotify.com/track/2wFwbyCz96QFLm2L6esbgf,65640,4,Dark Trap,BUSHY B INTERLUDE
0.8590000000000001,0.506,10,-8.115,0,0.418,0.105,0.0,0.113,0.153,140.97299999999996,6PoKfDY78ih5OveWirggRX,https://open.spotify.com/track/6PoKfDY78ih5OveWirggRX,187465,4,Dark Trap,Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV)
